"participant","condsFile","order","trial","nTrip","totalListTime","meanListTime","totalShelfTime","meanShelfTime","totalTime","totalCorrect","meanCorrect","meanCorBefInc","totalInCorrect","meanIncorrect","maxCorrect","maxIncorrect","totalClickeds","meanclickeds","meanMU","Timestamp","What.is.your.child.s.gender.","What.is.your.child.s.age.","Please.enter.your.child.s.birth.date.","Caregiver.1..What.is.the.highest.level.of.education.","Caregiver.2..What.is.the.highest.level.of.education.","Is.your.child.currently.going.to.school..If.yes..what.grade...In.the.summer..What.grade.has.your.child.just.completed..","Which.group.below.most.accurately.describes.your.child.s.ethnic.background.","Which.group.help.most.accurately.describes.your.child.s.racial.background.","How.many.days.per.week.does.your.child.spend.using.a.touchscreen.device...e.g..iPad..tablet..smartphone.","On.these.days..how.many.hours.does.your.child.typically.spend.using.the.touchscreen.device.","Which.types.of.activities.does.your.child.usually.engage.in.on.the.touchscreen.device.","Does.your.child.have.colorblindness.","At.what.age.did.your.child.first.begin.to.play.with.a.touchscreen.device.","Have.you.ever.had.any.developmental.concerns.or.have.you.ever.been.referred.to.early.intervention..If.yes..what.it.is.","Does.your.child.hear.any.other.language.other.than.English.on.a.daily.basis..If.yes..which.."
"16","noDelay","B",1,1,4.6119107499253,4.6119107499253,36.0476764899213,36.0476764899213,40.6595872398466,4,4,2,1,1,4,1,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","noDelay","B",2,1,2.50354967999738,2.50354967999738,5.56702988990583,5.56702988990583,8.0705795699032,1,1,1,0,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","noDelay","B",3,1,5.99947977985721,5.99947977985721,11.2135887597688,11.2135887597688,17.213068539626,0,0,0,1,1,0,1,1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","noDelay","B",4,1,2.54259188007563,2.54259188007563,42.6839945098618,42.6839945098618,45.2265863899374,6,6,1,4,4,6,4,10,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","longDelay","D",1,1,3.29103162046522,3.29103162046522,5.41251267958432,5.41251267958432,8.70354430004954,1,1,1,0,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","longDelay","D",2,1,2.52503332030028,2.52503332030028,5.1112530794926,5.1112530794926,7.63628639979288,1,1,1,0,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","longDelay","D",3,1,2.3407512200065,2.3407512200065,6.63459083903581,6.63459083903581,8.9753420590423,2,2,2,0,0,2,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","longDelay","D",4,1,6.22417532000691,6.22417532000691,41.8415527599864,41.8415527599864,48.0657280799933,7,7,4,3,3,7,3,10,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","noDelay","D",1,1,2.50639339955524,2.50639339955524,5.0163734392263,5.0163734392263,7.52276683878154,1,1,1,0,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","noDelay","D",2,1,2.24869879940525,2.24869879940525,10.2514682193287,10.2514682193287,12.5001670187339,2,2,2,0,0,2,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","noDelay","D",3,1,6.58153459988534,6.58153459988534,15.0305499196984,15.0305499196984,21.6120845195837,3,3,3,0,0,3,0,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","noDelay","D",4,1,3.29608205985278,3.29608205985278,36.7459927992895,36.7459927992895,40.0420748591423,6,6,3,4,4,6,4,10,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","longDelay","B",1,1,4.29294483968988,4.29294483968988,8.06111156009138,8.06111156009138,12.3540563997813,1,1,1,0,0,1,0,1,1,1,"12/6/2024 17:10:57","Male",6,"11/6/2018","Master's degree","PhD degree","Kindergarten","Not Hispanic or Latino","Asian","1-2 days","1-2 hours","playing games, reading books","No","4","No","Hindi, Bengali"
"18","longDelay","B",2,1,4.85814421996474,4.85814421996474,6.13979647960514,6.13979647960514,10.9979406995699,1,1,1,0,0,1,0,1,1,1,"12/6/2024 17:10:57","Male",6,"11/6/2018","Master's degree","PhD degree","Kindergarten","Not Hispanic or Latino","Asian","1-2 days","1-2 hours","playing games, reading books","No","4","No","Hindi, Bengali"
"18","longDelay","B",3,1,14.9524105200544,14.9524105200544,19.0466251396574,19.0466251396574,33.9990356597118,3,3,3,0,0,3,0,3,3,3,"12/6/2024 17:10:57","Male",6,"11/6/2018","Master's degree","PhD degree","Kindergarten","Not Hispanic or Latino","Asian","1-2 days","1-2 hours","playing games, reading books","No","4","No","Hindi, Bengali"
"18","longDelay","B",4,1,7.71921553928405,7.71921553928405,22.6724893995561,22.6724893995561,30.3917049388401,5,5,3,5,5,5,5,10,10,0,"12/6/2024 17:10:57","Male",6,"11/6/2018","Master's degree","PhD degree","Kindergarten","Not Hispanic or Latino","Asian","1-2 days","1-2 hours","playing games, reading books","No","4","No","Hindi, Bengali"
"18","noDelay","B",1,1,6.41020730044693,6.41020730044693,25.6300342599861,25.6300342599861,32.0402415604331,2,2,2,0,0,2,0,2,2,2,"12/6/2024 17:10:57","Male",6,"11/6/2018","Master's degree","PhD degree","Kindergarten","Not Hispanic or Latino","Asian","1-2 days","1-2 hours","playing games, reading books","No","4","No","Hindi, Bengali"
"18","noDelay","B",2,1,5.87025560019538,5.87025560019538,17.7817253200337,17.7817253200337,23.6519809202291,3,3,3,0,0,3,0,3,3,3,"12/6/2024 17:10:57","Male",6,"11/6/2018","Master's degree","PhD degree","Kindergarten","Not Hispanic or Latino","Asian","1-2 days","1-2 hours","playing games, reading books","No","4","No","Hindi, Bengali"
"18","noDelay","B",3,1,3.48985021980479,3.48985021980479,18.427567880135,18.427567880135,21.9174180999398,2,2,2,0,0,2,0,2,2,2,"12/6/2024 17:10:57","Male",6,"11/6/2018","Master's degree","PhD degree","Kindergarten","Not Hispanic or Latino","Asian","1-2 days","1-2 hours","playing games, reading books","No","4","No","Hindi, Bengali"
"18","noDelay","B",4,1,7.00211242027581,7.00211242027581,57.3277412992902,57.3277412992902,64.329853719566,7,7,6,3,3,7,3,10,10,4,"12/6/2024 17:10:57","Male",6,"11/6/2018","Master's degree","PhD degree","Kindergarten","Not Hispanic or Latino","Asian","1-2 days","1-2 hours","playing games, reading books","No","4","No","Hindi, Bengali"
"20","longDelay","D",1,1,6.73294915957376,6.73294915957376,9.14964491920546,9.14964491920546,15.8825940787792,2,2,2,0,0,2,0,2,2,2,"12/6/2024 18:09:38","Female",6,"11/1/2018","Other professional degree","College degree","First grade","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games, watching videos","No","3","Mild speech delay, briefly had speech therapy","No"
"20","longDelay","D",2,1,7.80077432002872,7.80077432002872,11.8148796795867,11.8148796795867,19.6156539996155,4,4,4,0,0,4,0,4,4,4,"12/6/2024 18:09:38","Female",6,"11/1/2018","Other professional degree","College degree","First grade","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games, watching videos","No","3","Mild speech delay, briefly had speech therapy","No"
"20","longDelay","D",3,1,11.1595538198017,11.1595538198017,10.1581687391736,10.1581687391736,21.3177225589752,2,2,2,0,0,2,0,2,2,2,"12/6/2024 18:09:38","Female",6,"11/1/2018","Other professional degree","College degree","First grade","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games, watching videos","No","3","Mild speech delay, briefly had speech therapy","No"
"20","longDelay","D",4,1,9.41111081978306,9.41111081978306,42.3677528994158,42.3677528994158,51.7788637191989,8,8,3,2,2,8,2,10,10,6,"12/6/2024 18:09:38","Female",6,"11/1/2018","Other professional degree","College degree","First grade","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games, watching videos","No","3","Mild speech delay, briefly had speech therapy","No"
"20","noDelay","D",1,1,4.37877554027364,4.37877554027364,15.4711145786569,15.4711145786569,19.8498901189305,3,3,3,0,0,3,0,3,3,3,"12/6/2024 18:09:38","Female",6,"11/1/2018","Other professional degree","College degree","First grade","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games, watching videos","No","3","Mild speech delay, briefly had speech therapy","No"
"20","noDelay","D",2,1,4.37713580019772,4.37713580019772,5.52585791889578,5.52585791889578,9.9029937190935,3,3,3,0,0,3,0,3,3,3,"12/6/2024 18:09:38","Female",6,"11/1/2018","Other professional degree","College degree","First grade","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games, watching videos","No","3","Mild speech delay, briefly had speech therapy","No"
"20","noDelay","D",3,1,6.21223219996318,6.21223219996318,7.80815101927146,7.80815101927146,14.0203832192346,3,3,3,0,0,3,0,3,3,3,"12/6/2024 18:09:38","Female",6,"11/1/2018","Other professional degree","College degree","First grade","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games, watching videos","No","3","Mild speech delay, briefly had speech therapy","No"
"20","noDelay","D",4,1,6.08234185958281,6.08234185958281,34.348292958457,34.348292958457,40.4306348180398,6,6,5,4,4,6,4,10,10,2,"12/6/2024 18:09:38","Female",6,"11/1/2018","Other professional degree","College degree","First grade","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games, watching videos","No","3","Mild speech delay, briefly had speech therapy","No"
"22","longDelay","B",1,1,5.26099573029205,5.26099573029205,19.372494910378,19.372494910378,24.6334906406701,2,2,1,1,1,2,1,3,3,1,"12/20/2024 11:00:52","Female",5.5,"3/28/2019","Master's degree","Master's degree","Kindergarten","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games","No","4","No","No"
"22","longDelay","B",2,1,2.91646753996611,2.91646753996611,22.3794977203943,22.3794977203943,25.2959652603604,6,6,2,4,4,6,4,10,10,2,"12/20/2024 11:00:52","Female",5.5,"3/28/2019","Master's degree","Master's degree","Kindergarten","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games","No","4","No","No"
"22","longDelay","B",3,1,4.52732403995469,4.52732403995469,18.7292838203721,18.7292838203721,23.2566078603268,6,6,1,4,4,6,4,10,10,2,"12/20/2024 11:00:52","Female",5.5,"3/28/2019","Master's degree","Master's degree","Kindergarten","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games","No","4","No","No"
"22","longDelay","B",4,1,4.36677902983502,4.36677902983502,21.927542490419,21.927542490419,26.294321520254,6,6,1,4,4,6,4,10,10,2,"12/20/2024 11:00:52","Female",5.5,"3/28/2019","Master's degree","Master's degree","Kindergarten","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games","No","4","No","No"
"22","noDelay","B",1,1,18.1992236501537,18.1992236501537,20.5954122813419,20.5954122813419,38.7946359314956,5,5,5,0,0,5,0,5,5,5,"12/20/2024 11:00:52","Female",5.5,"3/28/2019","Master's degree","Master's degree","Kindergarten","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games","No","4","No","No"
"22","noDelay","B",2,1,2.683561750222,2.683561750222,21.9066029610112,21.9066029610112,24.5901647112332,1,1,0,1,1,1,1,2,2,0,"12/20/2024 11:00:52","Female",5.5,"3/28/2019","Master's degree","Master's degree","Kindergarten","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games","No","4","No","No"
